"Accession","Name","Description","cog_SampleX_bin.001","cog_SampleX_bin.002","cog_SampleX_bin.003"
"COG0514","RecQ","Superfamily II DNA helicase",1,1,0
"COG0515","SPS1","Serine/threonine protein kinase",2,5,4
"COG0516","GuaB","IMP dehydrogenase/GMP reductase",4,2,2
"COG0517","COG0517","FOG: CBS domain",3,1,2
"COG0518","GuaA","GMP synthase - Glutamine amidotransferase domain",2,1,1
"COG0519","GuaA","GMP synthase, PP-ATPase domain/subunit",2,1,1
"COG0520","csdA","Selenocysteine lyase/Cysteine desulfurase",2,1,2
"COG0521","MoaB","Molybdopterin biosynthesis enzymes",1,0,1
"COG0522","RpsD","Ribosomal protein S4 and related proteins",1,1,1
"COG0523","COG0523","Putative GTPases (G3E family)",2,0,4
"COG0524","RbsK","Sugar kinases, ribokinase family",16,0,2
"COG0525","ValS","Valyl-tRNA synthetase",1,1,2
"COG0526","TrxA","Thiol-disulfide isomerase and thioredoxins",1,0,1
"COG0527","LysC","Aspartokinases",2,2,2
"COG0528","PyrH","Uridylate kinase",1,1,1
"COG0531","PotE","Amino acid transporters",3,0,1
"COG0532","InfB","Translation initiation factor 2 (IF-2; GTPase)",1,1,1
"COG0533","QRI7","Metal-dependent proteases with possible chaperone activity",1,2,1
"COG0534","NorM","Na+-driven multidrug efflux pump",39,7,20
"COG0535","COG0535","Predicted Fe-S oxidoreductases",1,0,2
"COG0536","Obg","Predicted GTPase",1,1,1
"COG0537","Hit","Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases",3,1,1
"COG0538","Icd","Isocitrate dehydrogenases",1,1,0
"COG0539","RpsA","Ribosomal protein S1",2,2,0
"COG0540","PyrB","Aspartate carbamoyltransferase, catalytic chain",1,1,1
"COG0541","Ffh","Signal recognition particle GTPase",4,1,1
"COG0542","clpA","ATP-binding subunits of Clp protease and DnaK/DnaJ chaperones",2,2,3
"COG0543","UbiB","2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases",3,2,2
"COG0544","Tig","FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)",2,1,2
"COG0546","Gph","Predicted phosphatases",7,4,3
"COG0547","TrpD","Anthranilate phosphoribosyltransferase",1,1,1
"COG0548","ArgB","Acetylglutamate kinase",1,1,1
"COG0549","ArcC","Carbamate kinase",3,0,0
"COG0550","TopA","Topoisomerase IA",5,1,1
"COG0551","TopA","Zn-finger domain associated with topoisomerase type I",2,2,1
"COG0552","FtsY","Signal recognition particle GTPase",2,1,1
"COG0553","HepA","Superfamily II DNA/RNA helicases, SNF2 family",1,0,3
"COG0554","GlpK","Glycerol kinase",2,0,0
"COG0555","CysU","ABC-type sulfate transport system, permease component",1,1,0
"COG0556","UvrB","Helicase subunit of the DNA excision repair complex",1,1,1
"COG0557","VacB","Exoribonuclease R",1,0,1
"COG0558","PgsA","Phosphatidylglycerophosphate synthase",2,2,2
"COG0559","LivH","Branched-chain amino acid ABC-type transport system, permease components",6,0,0
"COG0561","Cof","Predicted hydrolases of the HAD superfamily",8,3,36
"COG0562","Glf","UDP-galactopyranose mutase",1,1,0
"COG0563","Adk","Adenylate kinase and related kinases",3,1,1
"COG0564","RluA","Pseudouridylate synthases, 23S RNA-specific",4,3,4
"COG0566","SpoU","rRNA methylases",3,2,3
"COG0568","RpoD","DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)",5,1,1
"COG0569","TrkA","K+ transport systems, NAD-binding component",7,1,5
"COG0571","Rnc","dsRNA-specific ribonuclease",1,1,1
"COG0572","Udk","Uridine kinase",1,0,1
"COG0573","PstC","ABC-type phosphate transport system, permease component",2,1,1
"COG0574","PpsA","Phosphoenolpyruvate synthase/pyruvate phosphate dikinase",2,1,1
"COG0575","CdsA","CDP-diglyceride synthetase",1,1,1
"COG0576","GrpE","Molecular chaperone GrpE (heat shock protein)",2,1,1
"COG0577","SalY","ABC-type antimicrobial peptide transport system, permease component",6,7,5
"COG0579","COG0579","Predicted dehydrogenase",2,0,0
"COG0580","GlpF","Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)",1,0,0
"COG0581","PstA","ABC-type phosphate transport system, permease component",2,1,1
"COG0582","XerC","Integrase",3,3,2
"COG0583","LysR","Transcriptional regulator",36,3,18
"COG0584","UgpQ","Glycerophosphoryl diester phosphodiesterase",3,0,1
"COG0586","DedA","Uncharacterized membrane-associated protein",1,0,0
"COG0587","DnaE","DNA polymerase III, alpha subunit",1,1,2
"COG0590","CumB","Cytosine/adenosine deaminases",1,1,1
"COG0591","PutP","Na+/proline symporter",8,0,0
"COG0592","DnaN","DNA polymerase sliding clamp subunit (PCNA homolog)",1,1,1
"COG0593","DnaA","ATPase involved in DNA replication initiation",2,1,1
"COG0594","RnpA","RNase P protein component",1,1,1
"COG0595","COG0595","mRNA degradation ribonucleases J1/J2 (metallo-beta-lactamase superfamily)",1,1,3
"COG0596","MhpC","Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)",1,0,2
"COG0597","LspA","Lipoprotein signal peptidase",2,1,1
"COG0598","CorA","Mg2+ and Co2+ transporters",2,1,0
"COG0599","COG0599","Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit",1,1,1
"COG0600","TauC","ABC-type nitrate/sulfonate/bicarbonate transport system, permease component",6,0,0
"COG0601","DppB","ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",17,0,3
"COG0602","NrdG","Organic radical activating enzymes",1,0,1
"COG0606","COG0606","Predicted ATPase with chaperone activity",1,1,0
"COG0607","PspE","Rhodanese-related sulfurtransferase",5,1,1
"COG0608","RecJ","Single-stranded DNA-specific exonuclease",1,1,1
"COG0609","FepD","ABC-type Fe3+-siderophore transport system, permease component",3,0,1
"COG0613","COG0613","Predicted metal-dependent phosphoesterases (PHP family)",5,1,1
"COG0614","FepB","ABC-type Fe3+-hydroxamate transport system, periplasmic component",4,1,1
"COG0617","PcnB","tRNA nucleotidyltransferase/poly(A) polymerase",1,1,1
"COG0618","COG0618","Exopolyphosphatase-related proteins",1,1,1
"COG0619","CbiQ","ABC-type cobalt transport system, permease component CbiQ and related transporters",1,2,2
"COG0620","MetE","Methionine synthase II (cobalamin-independent)",1,2,1
"COG0621","MiaB","2-methylthioadenine synthetase",3,3,2
"COG0622","COG0622","Predicted phosphoesterase",5,1,4
"COG0624","ArgE","Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases",18,1,2
"COG0626","MetC","Cystathionine beta-lyases/cystathionine gamma-synthases",1,0,0
"COG0628","yhhT","Predicted permease, member of the PurR regulon",6,1,4
"COG0629","Ssb","Single-stranded DNA-binding protein",3,1,1
"COG0630","VirB11","Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",1,0,0
"COG0631","PTC1","Serine/threonine protein phosphatase",1,2,1
"COG0632","RuvA","Holliday junction resolvasome, DNA-binding subunit",1,1,1
"COG0634","Hpt","Hypoxanthine-guanine phosphoribosyltransferase",1,1,1
"COG0635","HemN","Coproporphyrinogen III oxidase and related Fe-S oxidoreductases",2,2,1
"COG0636","AtpE","F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K",2,0,1
"COG0637","COG0637","Predicted phosphatase/phosphohexomutase",4,1,4
"COG0640","ArsR","Predicted transcriptional regulators",4,1,1
"COG0641","AslB","Arylsulfatase regulator (Fe-S oxidoreductase)",3,2,0
"COG0642","BaeS","Signal transduction histidine kinase",44,6,10
"COG0643","CheA","Chemotaxis protein histidine kinase and related kinases",1,0,0
"COG0646","MetH","Methionine synthase I (cobalamin-dependent), methyltransferase domain",1,1,1
"COG0651","HyfB","Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit",5,0,0
"COG0652","PpiB","Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family",2,2,2
"COG0653","SecA","Preprotein translocase subunit SecA (ATPase, RNA helicase)",1,1,2
"COG0655","WrbA","Multimeric flavodoxin WrbA",8,1,6
"COG0656","ARA1","Aldo/keto reductases, related to diketogulonate reductase",2,0,7
"COG0657","Aes","Esterase/lipase",4,0,2
"COG0658","ComEC","Predicted membrane metal-binding protein",1,1,1
"COG0659","SUL1","Sulfate permease and related transporters (MFS superfamily)",3,0,1
"COG0662","{ManC","Mannose-6-phosphate isomerase",9,0,0
"COG0664","Crp","cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases",9,2,2
"COG0665","DadA","Glycine/D-amino acid oxidases (deaminating)",1,0,1
"COG0667","Tas","Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)",3,0,2
"COG0668","MscS","Small-conductance mechanosensitive channel",1,1,1
"COG0669","CoaD","Phosphopantetheine adenylyltransferase",2,1,2
"COG0670","COG0670","Integral membrane protein, interacts with FtsH",1,1,1
"COG0671","PgpB","Membrane-associated phospholipid phosphatase",2,2,2
"COG0673","MviM","Predicted dehydrogenases and related proteins",11,1,3
"COG0674","PorA","Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, alpha subunit",2,2,1
"COG0679","COG0679","Predicted permeases",3,1,4
"COG0681","LepB","Signal peptidase I",2,2,2
"COG0682","Lgt","Prolipoprotein diacylglyceryltransferase",1,2,1
"COG0683","LivK","ABC-type branched-chain amino acid transport systems, periplasmic component",6,0,0
"COG0684","MenG","Demethylmenaquinone methyltransferase",7,0,0
"COG0685","MetF","5,10-methylenetetrahydrofolate reductase",2,2,1
"COG0687","PotD","Spermidine/putrescine-binding periplasmic protein",2,1,1
"COG0688","Psd","Phosphatidylserine decarboxylase",1,0,1
"COG0691","SmpB","tmRNA-binding protein",1,1,1
"COG0692","Ung","Uracil DNA glycosylase",1,0,1
"COG0693","ThiJ","Putative intracellular protease/amidase",2,1,1
"COG0695","GrxC","Glutaredoxin and related proteins",2,0,0
"COG0696","GpmI","Phosphoglyceromutase",1,1,1
"COG0697","RhaT","Permeases of the drug/metabolite transporter (DMT) superfamily",10,2,5
"COG0698","RpiB","Ribose 5-phosphate isomerase RpiB",6,1,2
"COG0700","SpmB","Uncharacterized membrane protein",1,1,1
"COG0701","COG0701","Predicted permeases",2,0,0
"COG0703","AroK","Shikimate kinase",2,2,1
"COG0704","PhoU","Phosphate uptake regulator",1,1,1
"COG0705","COG0705","Membrane associated serine protease",1,0,2
"COG0706","YidC","Preprotein translocase subunit YidC",1,1,1
"COG0707","MurG","UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase",1,2,2
"COG0708","XthA","Exonuclease III",1,0,1
"COG0709","SelD","Selenophosphate synthase",1,0,1
"COG0710","AroD","3-dehydroquinate dehydratase",1,0,1
"COG0711","AtpF","F0F1-type ATP synthase, subunit b",1,0,1
"COG0712","AtpH","F0F1-type ATP synthase, delta subunit (mitochondrial oligomycin sensitivity protein)",1,0,1
"COG0714","COG0714","MoxR-like ATPases",3,1,0
"COG0715","TauA","ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components",6,0,1
"COG0716","FldA","Flavodoxins",5,1,0
"COG0717","Dcd","Deoxycytidine deaminase",1,0,0
"COG0718","COG0718","Uncharacterized protein conserved in bacteria",1,1,0
"COG0719","SufB","Cysteine desulfurase activator SufB",1,1,2
"COG0720","COG0720","6-pyruvoyl-tetrahydropterin synthase",1,0,0
"COG0721","GatC","Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit",1,1,0
"COG0722","AroG","3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase",1,0,0
"COG0725","ModA","ABC-type molybdate transport system, periplasmic component",2,0,1
"COG0726","CDA1","Predicted xylanase/chitin deacetylase",7,2,2
"COG0727","COG0727","Predicted Fe-S-cluster oxidoreductase",2,0,0
"COG0730","COG0730","Predicted permeases",2,3,1
"COG0732","HsdS","Restriction endonuclease S subunits",1,1,0
"COG0733","COG0733","Na+-dependent transporters of the SNF family",6,2,2
"COG0735","Fur","Fe2+/Zn2+ uptake regulation proteins",1,1,2
"COG0736","AcpS","Phosphopantetheinyl transferase (holo-ACP synthase)",1,0,1
"COG0737","UshA","5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases",3,0,0
"COG0738","FucP","Fucose permease",3,0,0
"COG0739","NlpD","Membrane proteins related to metalloendopeptidases",3,2,1
"COG0740","ClpP","Protease subunit of ATP-dependent Clp proteases",3,2,2
"COG0742","COG0742","N6-adenine-specific methylase",1,1,1
"COG0743","Dxr","1-deoxy-D-xylulose 5-phosphate reductoisomerase",1,1,1
"COG0744","MrcB","Membrane carboxypeptidase (penicillin-binding protein)",5,1,4
"COG0745","OmpR","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain",25,5,11
"COG0746","MobA","Molybdopterin-guanine dinucleotide biosynthesis protein A",1,0,0
"COG0747","DdpA","ABC-type dipeptide transport system, periplasmic component",15,0,3
"COG0749","PolA","DNA polymerase I - 3'-5' exonuclease and polymerase domains",1,1,1
"COG0750","COG0750","Predicted membrane-associated Zn-dependent proteases 1",1,1,1
"COG0754","Gsp","Glutathionylspermidine synthase",1,0,0
"COG0756","Dut","dUTPase",1,1,1
"COG0758","Smf","Predicted Rossmann fold nucleotide-binding protein involved in DNA uptake",1,1,3
"COG0760","SurA","Parvulin-like peptidyl-prolyl isomerase",1,0,1
"COG0761","lytB","4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH",1,1,1
"COG0764","FabA","3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratases",1,1,1
"COG0765","HisM","ABC-type amino acid transport system, permease component",8,3,1
"COG0766","MurA","UDP-N-acetylglucosamine enolpyruvyl transferase",4,2,2
"COG0768","FtsI","Cell division protein FtsI/penicillin-binding protein 2",7,2,6
"COG0769","MurE","UDP-N-acetylmuramyl tripeptide synthase",1,1,2
"COG0770","MurF","UDP-N-acetylmuramyl pentapeptide synthase",2,1,1
"COG0771","MurD","UDP-N-acetylmuramoylalanine-D-glutamate ligase",2,1,1
"COG0772","FtsW","Bacterial cell division membrane protein",4,2,3
"COG0773","MurC","UDP-N-acetylmuramate-alanine ligase",1,1,1
"COG0775","Pfs","Nucleoside phosphorylase",2,1,2
"COG0776","HimA","Bacterial nucleoid DNA-binding protein",1,1,2
"COG0777","AccD","Acetyl-CoA carboxylase beta subunit",1,1,1
"COG0778","NfnB","Nitroreductase",7,2,4
"COG0779","COG0779","Uncharacterized protein conserved in bacteria",1,1,2
"COG0781","NusB","Transcription termination factor",2,2,2
"COG0782","COG0782","Uncharacterized conserved protein, YhbC family",1,1,1
"COG0783","Dps","DNA-binding ferritin-like protein (oxidative damage protectant)",1,0,0
"COG0784","CheY","FOG: CheY-like receiver",37,1,1
"COG0785","CcdA","Cytochrome c biogenesis protein",1,0,0
"COG0786","GltS","Na+/glutamate symporter",1,0,0
"COG0787","Alr","Alanine racemase",4,1,1
"COG0789","SoxR","Predicted transcriptional regulators",18,1,8
"COG0790","COG0790","FOG: TPR repeat, SEL1 subfamily",2,6,2
"COG0791","Spr","Cell wall-associated hydrolases (invasion-associated proteins)",8,2,4
"COG0792","COG0792","Predicted endonuclease distantly related to archaeal Holliday junction resolvase",1,1,0
"COG0793","Prc","Periplasmic protease",1,0,1
"COG0799","COG0799","Uncharacterized homolog of plant Iojap protein",1,1,1
"COG0800","Eda","2-keto-3-deoxy-6-phosphogluconate aldolase",5,0,0
"COG0801","FolK","7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase",2,0,0
"COG0802","COG0802","Predicted ATPase or kinase",1,1,1
"COG0803","LraI","ABC-type metal ion transport system, periplasmic component/surface adhesin",1,1,1
"COG0806","RimM","RimM protein, required for 16S rRNA processing",1,1,2
"COG0807","RibA","GTP cyclohydrolase II",1,1,0
"COG0809","QueA","S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)",1,1,1
"COG0812","MurB","UDP-N-acetylmuramate dehydrogenase",1,1,1
"COG0813","DeoD","Purine-nucleoside phosphorylase",2,0,0
"COG0816","COG0816","Predicted endonuclease involved in recombination (possible Holliday junction resolvase in Mycoplasmas and B. subtilis)",1,1,1
"COG0820","COG0820","Predicted Fe-S-cluster redox enzyme",1,1,1
"COG0821","gcpE","1-hydroxy-2-methyl-2-(e)-butenyl 4-diphosphate synthase",1,1,1
"COG0822","IscU","NifU homolog involved in Fe-S cluster formation",2,2,3
"COG0823","TolB","Periplasmic component of the Tol biopolymer transport system",1,0,0
"COG0824","FcbC","Predicted thioesterase",2,1,0
"COG0825","AccA","Acetyl-CoA carboxylase alpha subunit",1,1,1
"COG0826","COG0826","Collagenase and related proteases",3,3,5
"COG0834","HisJ","ABC-type amino acid transport/signal transduction systems, periplasmic component/domain",15,4,1
"COG0835","CheW","Chemotaxis signal transduction protein",1,0,0
"COG0836","{ManC","Mannose-1-phosphate guanylyltransferase",1,0,0
"COG0840","Tar","Methyl-accepting chemotaxis protein",12,0,0
"COG0841","AcrB","Cation/multidrug efflux pump",2,2,0
"COG0842","COG0842","ABC-type multidrug transport system, permease component",4,0,1
"COG0845","AcrA","Membrane-fusion protein",4,1,0
"COG0846","SIR2","NAD-dependent protein deacetylases, SIR2 family",4,1,0
"COG0850","MinC","Septum formation inhibitor",1,0,0
"COG0855","Ppk","Polyphosphate kinase",1,1,1
"COG0858","RbfA","Ribosome-binding factor A",1,1,1
"COG0860","AmiC","N-acetylmuramoyl-L-alanine amidase",5,2,3
"COG0863","COG0863","DNA modification methylase",1,0,1
"COG0864","NikR","Predicted transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain and a metal-binding domain",1,0,0
"COG1001","AdeC","Adenine deaminase",4,0,0
"COG1003","GcvP","Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain",3,0,0
"COG1006","MnhC","Multisubunit Na+/H+ antiporter, MnhC subunit",1,0,0
"COG1011","COG1011","Predicted hydrolase (HAD superfamily)",3,2,3
"COG1012","PutA","NAD-dependent aldehyde dehydrogenases",4,1,1
"COG1013","PorB","Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, beta subunit",3,2,1
"COG1014","PorG","Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit",5,2,1
"COG1015","DeoB","Phosphopentomutase",1,0,0
"COG1020","EntF","Non-ribosomal peptide synthetase modules and related proteins",2,3,0
"COG1022","FAA1","Long-chain acyl-CoA synthetases (AMP-forming)",1,0,0
"COG1024","CaiD","Enoyl-CoA hydratase/carnithine racemase",1,0,0
"COG1026","COG1026","Predicted Zn-dependent peptidases, insulinase-like",2,0,2
"COG1027","AspA","Aspartate ammonia-lyase",1,0,0
"COG1028","FabG","Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)",18,2,9
"COG1032","COG1032","Fe-S oxidoreductase",3,2,3
"COG1033","COG1033","Predicted exporters of the RND superfamily",2,0,0
"COG1034","NuoG","NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)",3,0,0
"COG1036","COG1036","Archaeal flavoproteins",1,0,0
"COG1040","ComFC","Predicted amidophosphoribosyltransferases",1,1,2
"COG1045","CysE","Serine acetyltransferase",2,4,0
"COG1048","AcnA","Aconitase A",4,1,1
"COG1051","COG1051","ADP-ribose pyrophosphatase",7,3,5
"COG1052","LdhA","Lactate dehydrogenase and related dehydrogenases",5,2,3
"COG1053","SdhA","Succinate dehydrogenase/fumarate reductase, flavoprotein subunit",1,1,0
"COG1055","ArsB","Na+/H+ antiporter NhaD and related arsenite permeases",1,0,0
"COG1057","NadD","Nicotinic acid mononucleotide adenylyltransferase",2,1,1
"COG1058","CinA","Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA",1,0,1
"COG1060","ThiH","Thiamine biosynthesis enzyme ThiH and related uncharacterized enzymes",1,1,0
"COG1061","SSL2","DNA or RNA helicases of superfamily II",3,0,1
"COG1063","Tdh","Threonine dehydrogenase and related Zn-dependent dehydrogenases",8,1,0
"COG1066","Sms","Predicted ATP-dependent serine protease",1,1,0
"COG1069","AraB","Ribulose kinase",1,0,0
"COG1070","XylB","Sugar (pentulose and hexulose) kinases",18,0,0
"COG1071","AcoA","Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, alpha subunit",1,0,0
"COG1073","COG1073","Hydrolases of the alpha/beta superfamily",4,2,1
"COG1074","RecB","ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)",2,1,2
"COG1075","LipA","Predicted acetyltransferases and hydrolases with the alpha/beta hydrolase fold",1,0,0
"COG1077","MreB","Actin-like ATPase involved in cell morphogenesis",1,0,1
"COG1079","COG1079","Uncharacterized ABC-type transport system, permease component",6,0,1
"COG1080","PtsA","Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)",1,1,1
"COG1082","IolE","Sugar phosphate isomerases/epimerases",20,1,0
"COG1086","COG1086","Predicted nucleoside-diphosphate sugar epimerases",3,1,2
"COG1087","GalE","UDP-glucose 4-epimerase",1,2,1
"COG1088","RfbB","dTDP-D-glucose 4,6-dehydratase",2,0,1
"COG1089","Gmd","GDP-D-mannose dehydratase",2,0,0
"COG1091","RfbD","dTDP-4-dehydrorhamnose reductase",3,0,2
"COG1092","COG1092","Predicted SAM-dependent methyltransferases",2,1,2
"COG1094","COG1094","Predicted RNA-binding protein (contains KH domains)",1,1,1
"COG1101","PhnK","ABC-type uncharacterized transport system, ATPase component",2,0,0
"COG1102","Cmk","Cytidylate kinase",7,4,2
"COG1104","NifS","Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes",3,2,2
"COG1105","FruK","Fructose-1-phosphate kinase and related fructose-6-phosphate kinase (PfkB)",1,1,2
"COG1106","COG1106","Predicted ATPases",1,1,0
"COG1108","ZnuB","ABC-type Mn2+/Zn2+ transport systems, permease components",1,1,1
"COG1109","{ManB","Phosphomannomutase",4,3,2
"COG1114","BrnQ","Branched-chain amino acid permeases",1,0,0
"COG1115","AlsT","Na+/alanine symporter",7,1,1
"COG1116","TauB","ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component",5,0,1
"COG1117","PstB","ABC-type phosphate transport system, ATPase component",2,1,1
"COG1120","FepC","ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",3,0,1
"COG1121","ZnuC","ABC-type Mn/Zn transport systems, ATPase component",1,1,1
"COG1122","CbiO","ABC-type cobalt transport system, ATPase component",2,2,3
"COG1123","COG1123","ATPase components of various ABC-type transport systems, contain duplicated ATPase",1,1,1
"COG1124","DppF","ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",2,0,1
"COG1126","GlnQ","ABC-type polar amino acid transport system, ATPase component",8,3,1
"COG1129","MglA","ABC-type sugar transport system, ATPase component",27,0,0
"COG1131","CcmA","ABC-type multidrug transport system, ATPase component",8,5,3
"COG1132","MdlB","ABC-type multidrug transport system, ATPase and permease components",23,5,12
"COG1134","TagH","ABC-type polysaccharide/polyol phosphate transport system, ATPase component",1,1,2
"COG1135","AbcC","ABC-type metal ion transport system, ATPase component",1,0,1
"COG1136","SalX","ABC-type antimicrobial peptide transport system, ATPase component",6,7,13
"COG1142","HycB","Fe-S-cluster-containing hydrogenase components 2",2,0,0
"COG1143","NuoI","Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)",2,1,1
"COG1145","NapF","Ferredoxin",9,1,1
"COG1149","COG1149","MinD superfamily P-loop ATPase containing an inserted ferredoxin domain",7,1,1
"COG1150","HdrC","Heterodisulfide reductase, subunit C",1,0,0
"COG1151","COG1151","6Fe-6S prismane cluster-containing protein",4,1,0
"COG1154","Dxs","Deoxyxylulose-5-phosphate synthase",1,1,2
"COG1155","NtpA","Archaeal/vacuolar-type H+-ATPase subunit A",2,1,1
"COG1156","NtpB","Archaeal/vacuolar-type H+-ATPase subunit B",2,1,1
"COG1157","FliI","Flagellar biosynthesis/type III secretory pathway ATPase",1,0,0
"COG1158","Rho","Transcription termination factor",1,0,2
"COG1159","Era","GTPase",1,1,1
"COG1160","COG1160","Predicted GTPases",2,1,2
"COG1161","COG1161","Predicted GTPases",1,1,2
"COG1162","COG1162","Predicted GTPases",1,1,1
"COG1164","COG1164","Oligoendopeptidase F",2,0,1
"COG1167","ARO8","Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs",8,3,1
"COG1168","MalY","Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities",5,0,4
"COG1171","IlvA","Threonine dehydratase",4,1,1
"COG1172","AraH","Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components",31,0,0
"COG1173","DppC","ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",16,0,3
"COG1175","UgpA","ABC-type sugar transport systems, permease components",31,3,0
"COG1176","PotB","ABC-type spermidine/putrescine transport system, permease component I",2,1,1
"COG1177","PotC","ABC-type spermidine/putrescine transport system, permease component II",2,1,1
"COG1178","ThiP","ABC-type Fe3+ transport system, permease component",8,0,0
"COG1179","COG1179","Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1",1,1,2
"COG1180","PflA","Pyruvate-formate lyase-activating enzyme",6,2,3
"COG1183","PssA","Phosphatidylserine synthase",1,0,1
"COG1184","GCD2","Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family",1,0,0
"COG1185","Pnp","Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)",1,1,1
"COG1186","PrfB","Protein chain release factor B",2,1,1
"COG1187","RsuA","16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases",2,2,3
"COG1188","COG1188","Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)",1,1,1
"COG1189","COG1189","Predicted rRNA methylase",1,1,1
"COG1190","LysU","Lysyl-tRNA synthetase (class II)",1,1,1
"COG1191","FliA","DNA-directed RNA polymerase specialized sigma subunit",8,5,3
"COG1192","Soj","ATPases involved in chromosome partitioning",2,2,2
"COG1193","COG1193","Mismatch repair ATPase (MutS family)",2,1,1
"COG1194","MutY","A/G-specific DNA glycosylase",1,0,1
"COG1195","RecF","Recombinational DNA repair ATPase (RecF pathway)",1,1,1
"COG1196","Smc","Chromosome segregation ATPases",10,3,6
"COG1197","Mfd","Transcription-repair coupling factor (superfamily II helicase)",1,1,0
"COG1198","PriA","Primosomal protein N' (replication factor Y) - superfamily II helicase",1,1,1
"COG1199","DinG","Rad3-related DNA helicases",3,0,0
"COG1200","RecG","RecG-like helicase",1,1,1
"COG1201","Lhr","Lhr-like helicases",2,0,0
"COG1203","COG1203","CRISPR-associated helicase Cas3",3,1,0
"COG1207","GlmU","N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains)",1,2,1
"COG1208","GCD1","Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)",2,1,2
"COG1209","RfbA","dTDP-glucose pyrophosphorylase",3,0,2
"COG1211","IspD","4-diphosphocytidyl-2-methyl-D-erithritol synthase",1,3,1
"COG1214","COG1214","Inactive homolog of metal-dependent proteases, putative molecular chaperone",1,1,1
"COG1215","COG1215","Glycosyltransferases, probably involved in cell wall biogenesis",1,2,0
"COG1216","COG1216","Predicted glycosyltransferases",5,0,1
"COG1217","TypA","Predicted membrane GTPase involved in stress response",1,1,1
"COG1219","ClpX","ATP-dependent protease Clp, ATPase subunit",3,1,0
"COG1221","PspF","Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain",2,0,2
"COG1225","Bcp","Peroxiredoxin",2,0,0
