Name	Description	Accession	cog_table	EG18NEC_Bin13	EG18NEC_Bin8	EG18NEC_Bin12	EG18NEC_Bin13	EG18NEC_Bin8
GlpA	Glycerol-3-phosphate dehydrogenase	COG0578	Glycerol-3-phosphate dehydrogenase	1	1	2	1	1
GlpF	Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)	COG0580	Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)	1	1	2	1	1
PstA	ABC-type phosphate transport system, permease component	COG0581	ABC-type phosphate transport system, permease component	1	2	1	1	2
LysR	Transcriptional regulator	COG0583	Transcriptional regulator	13	12	39	13	12
UgpQ	Glycerophosphoryl diester phosphodiesterase	COG0584	Glycerophosphoryl diester phosphodiesterase	2	1	4	2	1
DedA	Uncharacterized membrane-associated protein	COG0586	Uncharacterized membrane-associated protein	0	0	1	0	0
DnaE	DNA polymerase III, alpha subunit	COG0587	DNA polymerase III, alpha subunit	2	4	2	2	4
GpmA	Phosphoglycerate mutase 1	COG0588	Phosphoglycerate mutase 1	1	2	1	1	2
UspA	Universal stress protein UspA and related nucleotide-binding proteins	COG0589	Universal stress protein UspA and related nucleotide-binding proteins	4	3	7	4	3
CumB	Cytosine/adenosine deaminases	COG0590	Cytosine/adenosine deaminases	1	1	2	1	1
PutP	Na+/proline symporter	COG0591	Na+/proline symporter	1	1	1	1	1
DnaN	DNA polymerase sliding clamp subunit (PCNA homolog)	COG0592	DNA polymerase sliding clamp subunit (PCNA homolog)	1	1	1	1	1
DnaA	ATPase involved in DNA replication initiation	COG0593	ATPase involved in DNA replication initiation	3	3	2	3	3
RnpA	RNase P protein component	COG0594	RNase P protein component	1	1	1	1	1
COG0595	mRNA degradation ribonucleases J1/J2 (metallo-beta-lactamase superfamily)	COG0595	mRNA degradation ribonucleases J1/J2 (metallo-beta-lactamase superfamily)	1	1	1	1	1
MhpC	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	COG0596	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	13	11	15	13	11
LspA	Lipoprotein signal peptidase	COG0597	Lipoprotein signal peptidase	1	1	1	1	1
COG0599	Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit	COG0599	Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit	0	0	2	0	0
TauC	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	4	2	4	4	2
DppB	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components	COG0601	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components	4	2	10	4	2
Qor	NADPH:quinone reductase and related Zn-dependent oxidoreductases	COG0604	NADPH:quinone reductase and related Zn-dependent oxidoreductases	6	3	5	6	3
SodA	Superoxide dismutase	COG0605	Superoxide dismutase	1	1	2	1	1
COG0606	Predicted ATPase with chaperone activity	COG0606	Predicted ATPase with chaperone activity	1	1	1	1	1
PspE	Rhodanese-related sulfurtransferase	COG0607	Rhodanese-related sulfurtransferase	4	2	1	4	2
RecJ	Single-stranded DNA-specific exonuclease	COG0608	Single-stranded DNA-specific exonuclease	1	1	1	1	1
FepD	ABC-type Fe3+-siderophore transport system, permease component	COG0609	ABC-type Fe3+-siderophore transport system, permease component	0	1	1	0	1
COG0610	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases	COG0610	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases	0	0	1	0	0
PqqL	Predicted Zn-dependent peptidases	COG0612	Predicted Zn-dependent peptidases	3	4	1	3	4
FepB	ABC-type Fe3+-hydroxamate transport system, periplasmic component	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	0	1	1	0	1
SppA	Periplasmic serine proteases (ClpP class)	COG0616	Periplasmic serine proteases (ClpP class)	2	3	3	2	3
PcnB	tRNA nucleotidyltransferase/poly(A) polymerase	COG0617	tRNA nucleotidyltransferase/poly(A) polymerase	1	1	1	1	1
CbiQ	ABC-type cobalt transport system, permease component CbiQ and related transporters	COG0619	ABC-type cobalt transport system, permease component CbiQ and related transporters	0	1	1	0	1
MetE	Methionine synthase II (cobalamin-independent)	COG0620	Methionine synthase II (cobalamin-independent)	1	1	1	1	1
MiaB	2-methylthioadenine synthetase	COG0621	2-methylthioadenine synthetase	2	2	2	2	2
FabI	Enoyl-[acyl-carrier-protein].	COG0623	Enoyl-[acyl-carrier-protein].	2	2	3	2	2
ArgE	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	6	4	4	6	4
Gst	Glutathione S-transferase	COG0625	Glutathione S-transferase	11	9	12	11	9
MetC	Cystathionine beta-lyases/cystathionine gamma-synthases	COG0626	Cystathionine beta-lyases/cystathionine gamma-synthases	3	4	3	3	4
COG0627	Predicted esterase	COG0627	Predicted esterase	0	1	1	0	1
yhhT	Predicted permease, member of the PurR regulon	COG0628	Predicted permease, member of the PurR regulon	1	2	1	1	2
Ssb	Single-stranded DNA-binding protein	COG0629	Single-stranded DNA-binding protein	1	1	1	1	1
RuvA	Holliday junction resolvasome, DNA-binding subunit	COG0632	Holliday junction resolvasome, DNA-binding subunit	1	1	1	1	1
Fdx	Ferredoxin	COG0633	Ferredoxin	3	2	3	3	2
Hpt	Hypoxanthine-guanine phosphoribosyltransferase	COG0634	Hypoxanthine-guanine phosphoribosyltransferase	1	1	1	1	1
HemN	Coproporphyrinogen III oxidase and related Fe-S oxidoreductases	COG0635	Coproporphyrinogen III oxidase and related Fe-S oxidoreductases	1	2	2	1	2
AtpE	F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K	COG0636	F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K	1	0	1	1	0
COG0637	Predicted phosphatase/phosphohexomutase	COG0637	Predicted phosphatase/phosphohexomutase	1	1	4	1	1
ApaH	Diadenosine tetraphosphatase and related serine/threonine protein phosphatases	COG0639	Diadenosine tetraphosphatase and related serine/threonine protein phosphatases	0	0	1	0	0
ArsR	Predicted transcriptional regulators	COG0640	Predicted transcriptional regulators	6	5	13	6	5
BaeS	Signal transduction histidine kinase	COG0642	Signal transduction histidine kinase	15	16	33	15	16
CheA	Chemotaxis protein histidine kinase and related kinases	COG0643	Chemotaxis protein histidine kinase and related kinases	0	0	1	0	0
FixC	Dehydrogenases (flavoproteins)	COG0644	Dehydrogenases (flavoproteins)	1	1	1	1	1
MetH	Methionine synthase I (cobalamin-dependent), methyltransferase domain	COG0646	Methionine synthase I (cobalamin-dependent), methyltransferase domain	1	1	1	1	1
NagD	Predicted sugar phosphatases of the HAD superfamily	COG0647	Predicted sugar phosphatases of the HAD superfamily	1	1	2	1	1
NuoD	NADH:ubiquinone oxidoreductase 49 kD subunit 7	COG0649	NADH:ubiquinone oxidoreductase 49 kD subunit 7	1	1	1	1	1
HyfB	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	3	3	1	3	3
PpiB	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	2	2	2	2	2
SecA	Preprotein translocase subunit SecA (ATPase, RNA helicase)	COG0653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	1	3	1	1	3
UbiH	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	5	4	4	5	4
Aes	Esterase/lipase	COG0657	Esterase/lipase	3	5	3	3	5
ComEC	Predicted membrane metal-binding protein	COG0658	Predicted membrane metal-binding protein	1	1	1	1	1
SUL1	Sulfate permease and related transporters (MFS superfamily)	COG0659	Sulfate permease and related transporters (MFS superfamily)	2	1	3	2	1
AarF	Predicted unusual protein kinase	COG0661	Predicted unusual protein kinase	1	2	1	1	2
{ManC	Mannose-6-phosphate isomerase	COG0662	Mannose-6-phosphate isomerase	2	2	1	2	2
PaaY	Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily	COG0663	Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily	1	1	1	1	1
Crp	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	COG0664	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	6	2	7	6	2
DadA	Glycine/D-amino acid oxidases (deaminating)	COG0665	Glycine/D-amino acid oxidases (deaminating)	11	16	12	11	16
Tas	Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)	COG0667	Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)	2	0	6	2	0
CoaD	Phosphopantetheine adenylyltransferase	COG0669	Phosphopantetheine adenylyltransferase	1	1	1	1	1
COG0670	Integral membrane protein, interacts with FtsH	COG0670	Integral membrane protein, interacts with FtsH	1	1	1	1	1
PgpB	Membrane-associated phospholipid phosphatase	COG0671	Membrane-associated phospholipid phosphatase	1	1	1	1	1
MviM	Predicted dehydrogenases and related proteins	COG0673	Predicted dehydrogenases and related proteins	7	5	18	7	5
AHP1	Peroxiredoxin	COG0678	Peroxiredoxin	1	1	1	1	1
COG0679	Predicted permeases	COG0679	Predicted permeases	2	2	2	2	2
LepB	Signal peptidase I	COG0681	Signal peptidase I	1	1	1	1	1
Lgt	Prolipoprotein diacylglyceryltransferase	COG0682	Prolipoprotein diacylglyceryltransferase	1	1	1	1	1
LivK	ABC-type branched-chain amino acid transport systems, periplasmic component	COG0683	ABC-type branched-chain amino acid transport systems, periplasmic component	6	7	8	6	7
MenG	Demethylmenaquinone methyltransferase	COG0684	Demethylmenaquinone methyltransferase	2	2	2	2	2
MetF	5,10-methylenetetrahydrofolate reductase	COG0685	5,10-methylenetetrahydrofolate reductase	2	2	2	2	2
Ald	Alanine dehydrogenase	COG0686	Alanine dehydrogenase	0	1	1	0	1
PotD	Spermidine/putrescine-binding periplasmic protein	COG0687	Spermidine/putrescine-binding periplasmic protein	3	4	2	3	4
Psd	Phosphatidylserine decarboxylase	COG0688	Phosphatidylserine decarboxylase	1	1	1	1	1
Rph	RNase PH	COG0689	RNase PH	1	1	1	1	1
SecE	Preprotein translocase subunit SecE	COG0690	Preprotein translocase subunit SecE	1	0	1	1	0
SmpB	tmRNA-binding protein	COG0691	tmRNA-binding protein	1	1	1	1	1
COG0694	Thioredoxin-like proteins and domains	COG0694	Thioredoxin-like proteins and domains	1	1	1	1	1
GrxC	Glutaredoxin and related proteins	COG0695	Glutaredoxin and related proteins	2	1	1	2	1
RhaT	Permeases of the drug/metabolite transporter (DMT) superfamily	COG0697	Permeases of the drug/metabolite transporter (DMT) superfamily	17	14	21	17	14
RpiB	Ribose 5-phosphate isomerase RpiB	COG0698	Ribose 5-phosphate isomerase RpiB	0	0	1	0	0
COG0702	Predicted nucleoside-diphosphate-sugar epimerases	COG0702	Predicted nucleoside-diphosphate-sugar epimerases	1	1	2	1	1
AroK	Shikimate kinase	COG0703	Shikimate kinase	1	1	1	1	1
PhoU	Phosphate uptake regulator	COG0704	Phosphate uptake regulator	1	1	1	1	1
COG0705	Membrane associated serine protease	COG0705	Membrane associated serine protease	2	2	2	2	2
YidC	Preprotein translocase subunit YidC	COG0706	Preprotein translocase subunit YidC	1	1	1	1	1
MurG	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	COG0707	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	1	1	1	1	1
XthA	Exonuclease III	COG0708	Exonuclease III	2	3	2	2	3
AtpF	F0F1-type ATP synthase, subunit b	COG0711	F0F1-type ATP synthase, subunit b	2	2	2	2	2
AtpH	F0F1-type ATP synthase, delta subunit (mitochondrial oligomycin sensitivity protein)	COG0712	F0F1-type ATP synthase, delta subunit (mitochondrial oligomycin sensitivity protein)	1	1	1	1	1
NuoK	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)	COG0713	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)	1	1	1	1	1
COG0714	MoxR-like ATPases	COG0714	MoxR-like ATPases	4	4	3	4	4
TauA	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	2	1	2	2	1
FldA	Flavodoxins	COG0716	Flavodoxins	0	0	1	0	0
Dcd	Deoxycytidine deaminase	COG0717	Deoxycytidine deaminase	2	2	1	2	2
COG0718	Uncharacterized protein conserved in bacteria	COG0718	Uncharacterized protein conserved in bacteria	1	1	1	1	1
SufB	Cysteine desulfurase activator SufB	COG0719	Cysteine desulfurase activator SufB	2	2	2	2	2
GatC	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	COG0721	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	1	2	1	1	2
QcrA	Rieske Fe-S protein	COG0723	Rieske Fe-S protein	1	1	1	1	1
ModA	ABC-type molybdate transport system, periplasmic component	COG0725	ABC-type molybdate transport system, periplasmic component	1	1	1	1	1
CDA1	Predicted xylanase/chitin deacetylase	COG0726	Predicted xylanase/chitin deacetylase	3	1	4	3	1
MviN	Uncharacterized membrane protein, putative virulence factor	COG0728	Uncharacterized membrane protein, putative virulence factor	2	1	1	2	1
COG0729	Outer membrane protein	COG0729	Outer membrane protein	1	0	1	1	0
COG0730	Predicted permeases	COG0730	Predicted permeases	3	5	3	3	5
Fur	Fe2+/Zn2+ uptake regulation proteins	COG0735	Fe2+/Zn2+ uptake regulation proteins	3	3	3	3	3
AcpS	Phosphopantetheinyl transferase (holo-ACP synthase)	COG0736	Phosphopantetheinyl transferase (holo-ACP synthase)	1	1	1	1	1
UshA	5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases	COG0737	5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases	1	1	3	1	1
FucP	Fucose permease	COG0738	Fucose permease	2	1	3	2	1
NlpD	Membrane proteins related to metalloendopeptidases	COG0739	Membrane proteins related to metalloendopeptidases	2	2	3	2	2
ClpP	Protease subunit of ATP-dependent Clp proteases	COG0740	Protease subunit of ATP-dependent Clp proteases	1	1	2	1	1
MltE	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)	COG0741	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)	4	2	3	4	2
COG0742	N6-adenine-specific methylase	COG0742	N6-adenine-specific methylase	1	1	1	1	1
MrcB	Membrane carboxypeptidase (penicillin-binding protein)	COG0744	Membrane carboxypeptidase (penicillin-binding protein)	3	4	4	3	4
OmpR	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	COG0745	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	8	13	16	8	13
MobA	Molybdopterin-guanine dinucleotide biosynthesis protein A	COG0746	Molybdopterin-guanine dinucleotide biosynthesis protein A	1	1	1	1	1
DdpA	ABC-type dipeptide transport system, periplasmic component	COG0747	ABC-type dipeptide transport system, periplasmic component	4	4	9	4	4
HugZ	Putative heme iron utilization protein	COG0748	Putative heme iron utilization protein	0	0	1	0	0
PolA	DNA polymerase I - 3'-5' exonuclease and polymerase domains	COG0749	DNA polymerase I - 3'-5' exonuclease and polymerase domains	1	2	1	1	2
COG0750	Predicted membrane-associated Zn-dependent proteases 1	COG0750	Predicted membrane-associated Zn-dependent proteases 1	1	1	1	1	1
GlyS	Glycyl-tRNA synthetase, beta subunit	COG0751	Glycyl-tRNA synthetase, beta subunit	1	2	1	1	2
GlyQ	Glycyl-tRNA synthetase, alpha subunit	COG0752	Glycyl-tRNA synthetase, alpha subunit	1	1	1	1	1
CcmC	ABC-type transport system involved in cytochrome c biogenesis, permease component	COG0755	ABC-type transport system involved in cytochrome c biogenesis, permease component	1	1	1	1	1
Dut	dUTPase	COG0756	dUTPase	1	1	1	1	1
AroQ	3-dehydroquinate dehydratase II	COG0757	3-dehydroquinate dehydratase II	1	1	1	1	1
Smf	Predicted Rossmann fold nucleotide-binding protein involved in DNA uptake	COG0758	Predicted Rossmann fold nucleotide-binding protein involved in DNA uptake	1	1	1	1	1
SurA	Parvulin-like peptidyl-prolyl isomerase	COG0760	Parvulin-like peptidyl-prolyl isomerase	4	3	4	4	3
lytB	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	COG0761	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	1	1	1	1	1
COG0762	Predicted integral membrane protein	COG0762	Predicted integral membrane protein	1	1	1	1	1
LpxB	Lipid A disaccharide synthetase	COG0763	Lipid A disaccharide synthetase	1	1	1	1	1
FabA	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratases	COG0764	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratases	3	3	3	3	3
HisM	ABC-type amino acid transport system, permease component	COG0765	ABC-type amino acid transport system, permease component	6	1	3	6	1
MurA	UDP-N-acetylglucosamine enolpyruvyl transferase	COG0766	UDP-N-acetylglucosamine enolpyruvyl transferase	1	1	1	1	1
Ttg2B	ABC-type transport system involved in resistance to organic solvents, permease component	COG0767	ABC-type transport system involved in resistance to organic solvents, permease component	1	1	1	1	1
FtsI	Cell division protein FtsI/penicillin-binding protein 2	COG0768	Cell division protein FtsI/penicillin-binding protein 2	1	2	1	1	2
MurE	UDP-N-acetylmuramyl tripeptide synthase	COG0769	UDP-N-acetylmuramyl tripeptide synthase	1	1	1	1	1
MurF	UDP-N-acetylmuramyl pentapeptide synthase	COG0770	UDP-N-acetylmuramyl pentapeptide synthase	1	1	1	1	1
MurD	UDP-N-acetylmuramoylalanine-D-glutamate ligase	COG0771	UDP-N-acetylmuramoylalanine-D-glutamate ligase	1	1	1	1	1
FtsW	Bacterial cell division membrane protein	COG0772	Bacterial cell division membrane protein	1	1	1	1	1
MurC	UDP-N-acetylmuramate-alanine ligase	COG0773	UDP-N-acetylmuramate-alanine ligase	1	1	1	1	1
LpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase	1	1	1	1	1
Pfs	Nucleoside phosphorylase	COG0775	Nucleoside phosphorylase	1	2	2	1	2
HimA	Bacterial nucleoid DNA-binding protein	COG0776	Bacterial nucleoid DNA-binding protein	3	3	3	3	3
AccD	Acetyl-CoA carboxylase beta subunit	COG0777	Acetyl-CoA carboxylase beta subunit	1	1	1	1	1
NfnB	Nitroreductase	COG0778	Nitroreductase	4	3	2	4	3
COG0779	Uncharacterized protein conserved in bacteria	COG0779	Uncharacterized protein conserved in bacteria	1	1	1	1	1
NusB	Transcription termination factor	COG0781	Transcription termination factor	1	1	2	1	1
COG0782	Uncharacterized conserved protein, YhbC family	COG0782	Uncharacterized conserved protein, YhbC family	1	1	1	1	1
CheY	FOG: CheY-like receiver	COG0784	FOG: CheY-like receiver	4	4	24	4	4
CcdA	Cytochrome c biogenesis protein	COG0785	Cytochrome c biogenesis protein	1	1	3	1	1
Alr	Alanine racemase	COG0787	Alanine racemase	1	1	1	1	1
SoxR	Predicted transcriptional regulators	COG0789	Predicted transcriptional regulators	5	4	9	5	4
COG0790	FOG: TPR repeat, SEL1 subfamily	COG0790	FOG: TPR repeat, SEL1 subfamily	5	7	6	5	7
Spr	Cell wall-associated hydrolases (invasion-associated proteins)	COG0791	Cell wall-associated hydrolases (invasion-associated proteins)	2	2	2	2	2
COG0792	Predicted endonuclease distantly related to archaeal Holliday junction resolvase	COG0792	Predicted endonuclease distantly related to archaeal Holliday junction resolvase	1	1	1	1	1
Prc	Periplasmic protease	COG0793	Periplasmic protease	2	2	2	2	2
GutQ	Predicted sugar phosphate isomerase involved in capsule formation	COG0794	Predicted sugar phosphate isomerase involved in capsule formation	1	1	1	1	1
COG0795	Predicted permeases	COG0795	Predicted permeases	2	2	2	2	2
MurI	Glutamate racemase	COG0796	Glutamate racemase	1	1	1	1	1
RlpA	Lipoproteins	COG0797	Lipoproteins	2	1	1	2	1
COG0799	Uncharacterized homolog of plant Iojap protein	COG0799	Uncharacterized homolog of plant Iojap protein	1	0	1	1	0
Eda	2-keto-3-deoxy-6-phosphogluconate aldolase	COG0800	2-keto-3-deoxy-6-phosphogluconate aldolase	2	2	3	2	2
FolK	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	COG0801	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	1	1	1	1	1
COG0802	Predicted ATPase or kinase	COG0802	Predicted ATPase or kinase	1	1	1	1	1
LraI	ABC-type metal ion transport system, periplasmic component/surface adhesin	COG0803	ABC-type metal ion transport system, periplasmic component/surface adhesin	1	0	1	1	0
TatC	Sec-independent protein secretion pathway component TatC	COG0805	Sec-independent protein secretion pathway component TatC	1	1	1	1	1
RimM	RimM protein, required for 16S rRNA processing	COG0806	RimM protein, required for 16S rRNA processing	1	1	1	1	1
RibA	GTP cyclohydrolase II	COG0807	GTP cyclohydrolase II	1	1	1	1	1
QueA	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)	COG0809	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)	1	1	1	1	1
TolQ	Biopolymer transport proteins	COG0811	Biopolymer transport proteins	1	2	1	1	2
MurB	UDP-N-acetylmuramate dehydrogenase	COG0812	UDP-N-acetylmuramate dehydrogenase	1	1	1	1	1
Lnt	Apolipoprotein N-acyltransferase	COG0815	Apolipoprotein N-acyltransferase	1	2	1	1	2
COG0816	Predicted endonuclease involved in recombination (possible Holliday junction resolvase in Mycoplasmas and B. subtilis)	COG0816	Predicted endonuclease involved in recombination (possible Holliday junction resolvase in Mycoplasmas and B. subtilis)	1	1	1	1	1
RuvC	Holliday junction resolvasome, endonuclease subunit	COG0817	Holliday junction resolvasome, endonuclease subunit	1	1	1	1	1
DgkA	Diacylglycerol kinase	COG0818	Diacylglycerol kinase	0	1	1	0	1
TenA	Putative transcription activator	COG0819	Putative transcription activator	0	2	2	0	2
COG0820	Predicted Fe-S-cluster redox enzyme	COG0820	Predicted Fe-S-cluster redox enzyme	1	1	1	1	1
gcpE	1-hydroxy-2-methyl-2-(e)-butenyl 4-diphosphate synthase	COG0821	1-hydroxy-2-methyl-2-(e)-butenyl 4-diphosphate synthase	1	2	1	1	2
IscU	NifU homolog involved in Fe-S cluster formation	COG0822	NifU homolog involved in Fe-S cluster formation	1	1	1	1	1
TolB	Periplasmic component of the Tol biopolymer transport system	COG0823	Periplasmic component of the Tol biopolymer transport system	1	1	1	1	1
FcbC	Predicted thioesterase	COG0824	Predicted thioesterase	3	5	1	3	5
AccA	Acetyl-CoA carboxylase alpha subunit	COG0825	Acetyl-CoA carboxylase alpha subunit	1	1	1	1	1
RpsU	Ribosomal protein S21	COG0828	Ribosomal protein S21	1	1	1	1	1
HisJ	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	COG0834	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	6	6	6	6	6
CheW	Chemotaxis signal transduction protein	COG0835	Chemotaxis signal transduction protein	0	0	1	0	0
{ManC	Mannose-1-phosphate guanylyltransferase	COG0836	Mannose-1-phosphate guanylyltransferase	2	2	1	2	2
Glk	Glucokinase	COG0837	Glucokinase	1	1	2	1	1
NuoA	NADH:ubiquinone oxidoreductase subunit 3 (chain A)	COG0838	NADH:ubiquinone oxidoreductase subunit 3 (chain A)	1	1	1	1	1
NuoJ	NADH:ubiquinone oxidoreductase subunit 6 (chain J)	COG0839	NADH:ubiquinone oxidoreductase subunit 6 (chain J)	1	1	1	1	1
Tar	Methyl-accepting chemotaxis protein	COG0840	Methyl-accepting chemotaxis protein	0	1	13	0	1
AcrB	Cation/multidrug efflux pump	COG0841	Cation/multidrug efflux pump	3	2	3	3	2
CyoB	Heme/copper-type cytochrome/quinol oxidases, subunit 1	COG0843	Heme/copper-type cytochrome/quinol oxidases, subunit 1	1	1	1	1	1
AcrA	Membrane-fusion protein	COG0845	Membrane-fusion protein	3	7	4	3	7
DnaQ	DNA polymerase III, epsilon subunit and related 3'-5' exonucleases	COG0847	DNA polymerase III, epsilon subunit and related 3'-5' exonucleases	2	2	1	2	2
ExbD	Biopolymer transport protein	COG0848	Biopolymer transport protein	1	1	1	1	1
ftsA	Cell division ATPase FtsA	COG0849	Cell division ATPase FtsA	1	2	1	1	2
NuoC	NADH:ubiquinone oxidoreductase 27 kD subunit	COG0852	NADH:ubiquinone oxidoreductase 27 kD subunit	1	1	1	1	1
PdxJ	Pyridoxal phosphate biosynthesis protein	COG0854	Pyridoxal phosphate biosynthesis protein	1	1	1	1	1
Ppk	Polyphosphate kinase	COG0855	Polyphosphate kinase	1	1	1	1	1
RbfA	Ribosome-binding factor A	COG0858	Ribosome-binding factor A	1	1	1	1	1
AmiC	N-acetylmuramoyl-L-alanine amidase	COG0860	N-acetylmuramoyl-L-alanine amidase	1	1	1	1	1
TerC	Membrane protein TerC, possibly involved in tellurium resistance	COG0861	Membrane protein TerC, possibly involved in tellurium resistance	2	1	2	2	1
COG0863	DNA modification methylase	COG0863	DNA modification methylase	2	1	2	2	1
AdeC	Adenine deaminase	COG1001	Adenine deaminase	1	1	1	1	1
GcvP	Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain	COG1003	Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain	2	1	1	2	1
NuoH	NADH:ubiquinone oxidoreductase subunit 1 (chain H)	COG1005	NADH:ubiquinone oxidoreductase subunit 1 (chain H)	1	1	1	1	1
MnhC	Multisubunit Na+/H+ antiporter, MnhC subunit	COG1006	Multisubunit Na+/H+ antiporter, MnhC subunit	1	1	1	1	1
NuoN	NADH:ubiquinone oxidoreductase subunit 2 (chain N)	COG1007	NADH:ubiquinone oxidoreductase subunit 2 (chain N)	1	1	1	1	1
NuoM	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	COG1008	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	1	1	1	1	1
NuoL	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit	COG1009	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit	1	2	2	1	2
CobJ	Precorrin-3B methylase	COG1010	Precorrin-3B methylase	1	2	1	1	2
COG1011	Predicted hydrolase (HAD superfamily)	COG1011	Predicted hydrolase (HAD superfamily)	4	2	5	4	2
PutA	NAD-dependent aldehyde dehydrogenases	COG1012	NAD-dependent aldehyde dehydrogenases	6	12	20	6	12
DeoB	Phosphopentomutase	COG1015	Phosphopentomutase	1	0	1	1	0
Hmp	Flavodoxin reductases (ferredoxin-NADPH reductases) family 1	COG1018	Flavodoxin reductases (ferredoxin-NADPH reductases) family 1	2	0	5	2	0
EntF	Non-ribosomal peptide synthetase modules and related proteins	COG1020	Non-ribosomal peptide synthetase modules and related proteins	0	1	1	0	1
FAA1	Long-chain acyl-CoA synthetases (AMP-forming)	COG1022	Long-chain acyl-CoA synthetases (AMP-forming)	2	1	1	2	1
CaiD	Enoyl-CoA hydratase/carnithine racemase	COG1024	Enoyl-CoA hydratase/carnithine racemase	13	10	7	13	10
FabG	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	COG1028	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	24	15	33	24	15
NuoG	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)	COG1034	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)	1	1	1	1	1
PycA	Pyruvate carboxylase	COG1038	Pyruvate carboxylase	1	2	1	1	2
