"Accession","Name","Description","EG18NEC_Bin12","EG18NEC_Bin13","EG18NEC_Bin8"
"COG0484","DnaJ","DnaJ-class molecular chaperone with C-terminal Zn finger domain",3,4,5
"COG0486","ThdF","Predicted GTPase",1,1,1
"COG0488","Uup","ATPase components of ABC transporters with duplicated ATPase domains",3,3,5
"COG0489","Mrp","ATPases involved in chromosome partitioning",2,1,1
"COG0491","GloB","Zn-dependent hydrolases, including glyoxylases",11,4,4
"COG0492","TrxB","Thioredoxin reductase",1,1,2
"COG0493","GltD","NADPH-dependent glutamate synthase beta chain and related oxidoreductases",2,2,2
"COG0494","MutT","NTP pyrophosphohydrolases including oxidative damage repair enzymes",7,3,3
"COG0495","LeuS","Leucyl-tRNA synthetase",1,1,1
"COG0496","SurE","Predicted acid phosphatase",1,1,1
"COG0497","RecN","ATPase involved in DNA repair",1,1,1
"COG0498","ThrC","Threonine synthase",1,1,1
"COG0499","SAM1","S-adenosylhomocysteine hydrolase",1,1,1
"COG0500","SmtA","SAM-dependent methyltransferases",1,0,1
"COG0501","HtpX","Zn-dependent protease with chaperone function",1,1,2
"COG0503","Apt","Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins",3,2,2
"COG0504","PyrG","CTP synthase (UTP-ammonia lyase)",1,1,2
"COG0505","CarA","Carbamoylphosphate synthase small subunit",1,1,1
"COG0506","PutA","Proline dehydrogenase",1,1,1
"COG0507","RecD","ATP-dependent exoDNAse (exonuclease V), alpha subunit - helicase superfamily I member",1,1,1
"COG0508","AceF","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes",4,4,4
"COG0509","GcvH","Glycine cleavage system H protein (lipoate-binding)",1,1,1
"COG0510","ycfN","Thiamine kinase and related kinases",1,0,0
"COG0511","AccB","Biotin carboxyl carrier protein",1,1,1
"COG0512","PabA","Anthranilate/para-aminobenzoate synthases component II",1,1,2
"COG0513","SrmB","Superfamily II DNA and RNA helicases",4,3,2
"COG0514","RecQ","Superfamily II DNA helicase",1,1,0
"COG0516","GuaB","IMP dehydrogenase/GMP reductase",2,2,2
"COG0517","COG0517","FOG: CBS domain",4,2,2
"COG0518","GuaA","GMP synthase - Glutamine amidotransferase domain",3,2,3
"COG0519","GuaA","GMP synthase, PP-ATPase domain/subunit",1,1,1
"COG0520","csdA","Selenocysteine lyase/Cysteine desulfurase",2,1,1
"COG0521","MoaB","Molybdopterin biosynthesis enzymes",1,1,1
"COG0522","RpsD","Ribosomal protein S4 and related proteins",1,1,1
"COG0523","COG0523","Putative GTPases (G3E family)",5,3,2
"COG0524","RbsK","Sugar kinases, ribokinase family",11,4,6
"COG0525","ValS","Valyl-tRNA synthetase",2,1,1
"COG0526","TrxA","Thiol-disulfide isomerase and thioredoxins",4,2,2
"COG0527","LysC","Aspartokinases",1,1,1
"COG0528","PyrH","Uridylate kinase",1,1,1
"COG0530","ECM27","Ca2+/Na+ antiporter",2,1,1
"COG0532","InfB","Translation initiation factor 2 (IF-2; GTPase)",1,1,1
"COG0533","QRI7","Metal-dependent proteases with possible chaperone activity",1,1,1
"COG0534","NorM","Na+-driven multidrug efflux pump",5,4,4
"COG0536","Obg","Predicted GTPase",1,1,1
"COG0537","Hit","Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases",1,2,2
"COG0538","Icd","Isocitrate dehydrogenases",1,1,1
"COG0539","RpsA","Ribosomal protein S1",1,1,1
"COG0540","PyrB","Aspartate carbamoyltransferase, catalytic chain",1,1,1
"COG0541","Ffh","Signal recognition particle GTPase",1,1,1
"COG0542","clpA","ATP-binding subunits of Clp protease and DnaK/DnaJ chaperones",3,2,5
"COG0544","Tig","FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)",1,1,2
"COG0546","Gph","Predicted phosphatases",2,0,2
"COG0547","TrpD","Anthranilate phosphoribosyltransferase",1,1,1
"COG0548","ArgB","Acetylglutamate kinase",1,1,1
"COG0550","TopA","Topoisomerase IA",1,1,1
"COG0552","FtsY","Signal recognition particle GTPase",1,1,1
"COG0554","GlpK","Glycerol kinase",2,1,1
"COG0555","CysU","ABC-type sulfate transport system, permease component",1,0,0
"COG0556","UvrB","Helicase subunit of the DNA excision repair complex",2,1,2
"COG0557","VacB","Exoribonuclease R",1,1,1
"COG0558","PgsA","Phosphatidylglycerophosphate synthase",2,3,3
"COG0559","LivH","Branched-chain amino acid ABC-type transport system, permease components",5,5,7
"COG0560","SerB","Phosphoserine phosphatase",1,1,1
"COG0563","Adk","Adenylate kinase and related kinases",2,1,1
"COG0564","RluA","Pseudouridylate synthases, 23S RNA-specific",3,2,2
"COG0565","LasT","rRNA methylase",1,1,1
"COG0566","SpoU","rRNA methylases",2,3,4
"COG0567","SucA","2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes",1,1,1
"COG0568","RpoD","DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)",2,2,2
"COG0569","TrkA","K+ transport systems, NAD-binding component",2,3,2
"COG0571","Rnc","dsRNA-specific ribonuclease",1,1,1
"COG0573","PstC","ABC-type phosphate transport system, permease component",1,1,1
"COG0574","PpsA","Phosphoenolpyruvate synthase/pyruvate phosphate dikinase",1,1,3
"COG0575","CdsA","CDP-diglyceride synthetase",1,1,1
"COG0576","GrpE","Molecular chaperone GrpE (heat shock protein)",1,1,1
"COG0577","SalY","ABC-type antimicrobial peptide transport system, permease component",3,3,0
"COG0578","GlpA","Glycerol-3-phosphate dehydrogenase",2,1,1
"COG0580","GlpF","Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)",2,1,1
"COG0581","PstA","ABC-type phosphate transport system, permease component",1,1,2
"COG0583","LysR","Transcriptional regulator",39,13,12
"COG0584","UgpQ","Glycerophosphoryl diester phosphodiesterase",4,2,1
"COG0586","DedA","Uncharacterized membrane-associated protein",1,0,0
"COG0587","DnaE","DNA polymerase III, alpha subunit",2,2,4
"COG0588","GpmA","Phosphoglycerate mutase 1",1,1,2
"COG0589","UspA","Universal stress protein UspA and related nucleotide-binding proteins",7,4,3
"COG0590","CumB","Cytosine/adenosine deaminases",2,1,1
"COG0591","PutP","Na+/proline symporter",1,1,1
"COG0592","DnaN","DNA polymerase sliding clamp subunit (PCNA homolog)",1,1,1
"COG0593","DnaA","ATPase involved in DNA replication initiation",2,3,3
"COG0594","RnpA","RNase P protein component",1,1,1
"COG0595","COG0595","mRNA degradation ribonucleases J1/J2 (metallo-beta-lactamase superfamily)",1,1,1
"COG0596","MhpC","Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)",15,13,11
"COG0597","LspA","Lipoprotein signal peptidase",1,1,1
"COG0599","COG0599","Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit",2,0,0
"COG0600","TauC","ABC-type nitrate/sulfonate/bicarbonate transport system, permease component",4,4,2
"COG0601","DppB","ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",10,4,2
"COG0604","Qor","NADPH:quinone reductase and related Zn-dependent oxidoreductases",5,6,3
"COG0605","SodA","Superoxide dismutase",2,1,1
"COG0606","COG0606","Predicted ATPase with chaperone activity",1,1,1
"COG0607","PspE","Rhodanese-related sulfurtransferase",1,4,2
"COG0608","RecJ","Single-stranded DNA-specific exonuclease",1,1,1
"COG0609","FepD","ABC-type Fe3+-siderophore transport system, permease component",1,0,1
"COG0610","COG0610","Type I site-specific restriction-modification system, R (restriction) subunit and related helicases",1,0,0
"COG0612","PqqL","Predicted Zn-dependent peptidases",1,3,4
"COG0614","FepB","ABC-type Fe3+-hydroxamate transport system, periplasmic component",1,0,1
"COG0616","SppA","Periplasmic serine proteases (ClpP class)",3,2,3
"COG0617","PcnB","tRNA nucleotidyltransferase/poly(A) polymerase",1,1,1
"COG0619","CbiQ","ABC-type cobalt transport system, permease component CbiQ and related transporters",1,0,1
"COG0620","MetE","Methionine synthase II (cobalamin-independent)",1,1,1
"COG0621","MiaB","2-methylthioadenine synthetase",2,2,2
"COG0623","FabI","Enoyl-[acyl-carrier-protein].",3,2,2
"COG0624","ArgE","Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases",4,6,4
"COG0625","Gst","Glutathione S-transferase",12,11,9
"COG0626","MetC","Cystathionine beta-lyases/cystathionine gamma-synthases",3,3,4
"COG0627","COG0627","Predicted esterase",1,0,1
"COG0628","yhhT","Predicted permease, member of the PurR regulon",1,1,2
"COG0629","Ssb","Single-stranded DNA-binding protein",1,1,1
"COG0632","RuvA","Holliday junction resolvasome, DNA-binding subunit",1,1,1
"COG0633","Fdx","Ferredoxin",3,3,2
"COG0634","Hpt","Hypoxanthine-guanine phosphoribosyltransferase",1,1,1
"COG0635","HemN","Coproporphyrinogen III oxidase and related Fe-S oxidoreductases",2,1,2
"COG0636","AtpE","F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K",1,1,0
"COG0637","COG0637","Predicted phosphatase/phosphohexomutase",4,1,1
"COG0639","ApaH","Diadenosine tetraphosphatase and related serine/threonine protein phosphatases",1,0,0
"COG0640","ArsR","Predicted transcriptional regulators",13,6,5
"COG0642","BaeS","Signal transduction histidine kinase",33,15,16
"COG0643","CheA","Chemotaxis protein histidine kinase and related kinases",1,0,0
"COG0644","FixC","Dehydrogenases (flavoproteins)",1,1,1
"COG0646","MetH","Methionine synthase I (cobalamin-dependent), methyltransferase domain",1,1,1
"COG0647","NagD","Predicted sugar phosphatases of the HAD superfamily",2,1,1
"COG0649","NuoD","NADH:ubiquinone oxidoreductase 49 kD subunit 7",1,1,1
"COG0651","HyfB","Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit",1,3,3
"COG0652","PpiB","Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family",2,2,2
"COG0653","SecA","Preprotein translocase subunit SecA (ATPase, RNA helicase)",1,1,3
"COG0654","UbiH","2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases",4,5,4
"COG0657","Aes","Esterase/lipase",3,3,5
"COG0658","ComEC","Predicted membrane metal-binding protein",1,1,1
"COG0659","SUL1","Sulfate permease and related transporters (MFS superfamily)",3,2,1
"COG0661","AarF","Predicted unusual protein kinase",1,1,2
"COG0662","{ManC","Mannose-6-phosphate isomerase",1,2,2
"COG0663","PaaY","Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily",1,1,1
"COG0664","Crp","cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases",7,6,2
"COG0665","DadA","Glycine/D-amino acid oxidases (deaminating)",12,11,16
"COG0667","Tas","Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)",6,2,0
"COG0669","CoaD","Phosphopantetheine adenylyltransferase",1,1,1
"COG0670","COG0670","Integral membrane protein, interacts with FtsH",1,1,1
"COG0671","PgpB","Membrane-associated phospholipid phosphatase",1,1,1
"COG0673","MviM","Predicted dehydrogenases and related proteins",18,7,5
"COG0678","AHP1","Peroxiredoxin",1,1,1
"COG0679","COG0679","Predicted permeases",2,2,2
"COG0681","LepB","Signal peptidase I",1,1,1
"COG0682","Lgt","Prolipoprotein diacylglyceryltransferase",1,1,1
"COG0683","LivK","ABC-type branched-chain amino acid transport systems, periplasmic component",8,6,7
"COG0684","MenG","Demethylmenaquinone methyltransferase",2,2,2
"COG0685","MetF","5,10-methylenetetrahydrofolate reductase",2,2,2
"COG0686","Ald","Alanine dehydrogenase",1,0,1
"COG0687","PotD","Spermidine/putrescine-binding periplasmic protein",2,3,4
"COG0688","Psd","Phosphatidylserine decarboxylase",1,1,1
"COG0689","Rph","RNase PH",1,1,1
"COG0690","SecE","Preprotein translocase subunit SecE",1,1,0
"COG0691","SmpB","tmRNA-binding protein",1,1,1
"COG0694","COG0694","Thioredoxin-like proteins and domains",1,1,1
"COG0695","GrxC","Glutaredoxin and related proteins",1,2,1
"COG0697","RhaT","Permeases of the drug/metabolite transporter (DMT) superfamily",21,17,14
"COG0698","RpiB","Ribose 5-phosphate isomerase RpiB",1,0,0
"COG0702","COG0702","Predicted nucleoside-diphosphate-sugar epimerases",2,1,1
"COG0703","AroK","Shikimate kinase",1,1,1
"COG0704","PhoU","Phosphate uptake regulator",1,1,1
"COG0705","COG0705","Membrane associated serine protease",2,2,2
"COG0706","YidC","Preprotein translocase subunit YidC",1,1,1
"COG0707","MurG","UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase",1,1,1
"COG0708","XthA","Exonuclease III",2,2,3
"COG0711","AtpF","F0F1-type ATP synthase, subunit b",2,2,2
"COG0712","AtpH","F0F1-type ATP synthase, delta subunit (mitochondrial oligomycin sensitivity protein)",1,1,1
"COG0713","NuoK","NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)",1,1,1
"COG0714","COG0714","MoxR-like ATPases",3,4,4
"COG0715","TauA","ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components",2,2,1
"COG0716","FldA","Flavodoxins",1,0,0
"COG0717","Dcd","Deoxycytidine deaminase",1,2,2
"COG0718","COG0718","Uncharacterized protein conserved in bacteria",1,1,1
"COG0719","SufB","Cysteine desulfurase activator SufB",2,2,2
"COG0721","GatC","Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit",1,1,2
"COG0723","QcrA","Rieske Fe-S protein",1,1,1
"COG0725","ModA","ABC-type molybdate transport system, periplasmic component",1,1,1
"COG0726","CDA1","Predicted xylanase/chitin deacetylase",4,3,1
"COG0728","MviN","Uncharacterized membrane protein, putative virulence factor",1,2,1
"COG0729","COG0729","Outer membrane protein",1,1,0
"COG0730","COG0730","Predicted permeases",3,3,5
"COG0735","Fur","Fe2+/Zn2+ uptake regulation proteins",3,3,3
"COG0736","AcpS","Phosphopantetheinyl transferase (holo-ACP synthase)",1,1,1
"COG0737","UshA","5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases",3,1,1
"COG0738","FucP","Fucose permease",3,2,1
"COG0739","NlpD","Membrane proteins related to metalloendopeptidases",3,2,2
"COG0740","ClpP","Protease subunit of ATP-dependent Clp proteases",2,1,1
"COG0741","MltE","Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)",3,4,2
"COG0742","COG0742","N6-adenine-specific methylase",1,1,1
"COG0744","MrcB","Membrane carboxypeptidase (penicillin-binding protein)",4,3,4
"COG0745","OmpR","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain",16,8,13
"COG0746","MobA","Molybdopterin-guanine dinucleotide biosynthesis protein A",1,1,1
"COG0747","DdpA","ABC-type dipeptide transport system, periplasmic component",9,4,4
"COG0748","HugZ","Putative heme iron utilization protein",1,0,0
"COG0749","PolA","DNA polymerase I - 3'-5' exonuclease and polymerase domains",1,1,2
"COG0750","COG0750","Predicted membrane-associated Zn-dependent proteases 1",1,1,1
"COG0751","GlyS","Glycyl-tRNA synthetase, beta subunit",1,1,2
"COG0752","GlyQ","Glycyl-tRNA synthetase, alpha subunit",1,1,1
"COG0755","CcmC","ABC-type transport system involved in cytochrome c biogenesis, permease component",1,1,1
"COG0756","Dut","dUTPase",1,1,1
"COG0757","AroQ","3-dehydroquinate dehydratase II",1,1,1
"COG0758","Smf","Predicted Rossmann fold nucleotide-binding protein involved in DNA uptake",1,1,1
"COG0760","SurA","Parvulin-like peptidyl-prolyl isomerase",4,4,3
"COG0761","lytB","4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH",1,1,1
"COG0762","COG0762","Predicted integral membrane protein",1,1,1
"COG0763","LpxB","Lipid A disaccharide synthetase",1,1,1
"COG0764","FabA","3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratases",3,3,3
"COG0765","HisM","ABC-type amino acid transport system, permease component",3,6,1
"COG0766","MurA","UDP-N-acetylglucosamine enolpyruvyl transferase",1,1,1
"COG0767","Ttg2B","ABC-type transport system involved in resistance to organic solvents, permease component",1,1,1
"COG0768","FtsI","Cell division protein FtsI/penicillin-binding protein 2",1,1,2
"COG0769","MurE","UDP-N-acetylmuramyl tripeptide synthase",1,1,1
"COG0770","MurF","UDP-N-acetylmuramyl pentapeptide synthase",1,1,1
"COG0771","MurD","UDP-N-acetylmuramoylalanine-D-glutamate ligase",1,1,1
"COG0772","FtsW","Bacterial cell division membrane protein",1,1,1
"COG0773","MurC","UDP-N-acetylmuramate-alanine ligase",1,1,1
"COG0774","LpxC","UDP-3-O-acyl-N-acetylglucosamine deacetylase",1,1,1
"COG0775","Pfs","Nucleoside phosphorylase",2,1,2
"COG0776","HimA","Bacterial nucleoid DNA-binding protein",3,3,3
"COG0777","AccD","Acetyl-CoA carboxylase beta subunit",1,1,1
"COG0778","NfnB","Nitroreductase",2,4,3
"COG0779","COG0779","Uncharacterized protein conserved in bacteria",1,1,1
"COG0781","NusB","Transcription termination factor",2,1,1
"COG0782","COG0782","Uncharacterized conserved protein, YhbC family",1,1,1
"COG0784","CheY","FOG: CheY-like receiver",24,4,4
"COG0785","CcdA","Cytochrome c biogenesis protein",3,1,1
"COG0787","Alr","Alanine racemase",1,1,1
"COG0789","SoxR","Predicted transcriptional regulators",9,5,4
"COG0790","COG0790","FOG: TPR repeat, SEL1 subfamily",6,5,7
"COG0791","Spr","Cell wall-associated hydrolases (invasion-associated proteins)",2,2,2
"COG0792","COG0792","Predicted endonuclease distantly related to archaeal Holliday junction resolvase",1,1,1
"COG0793","Prc","Periplasmic protease",2,2,2
"COG0794","GutQ","Predicted sugar phosphate isomerase involved in capsule formation",1,1,1
"COG0795","COG0795","Predicted permeases",2,2,2
"COG0796","MurI","Glutamate racemase",1,1,1
"COG0797","RlpA","Lipoproteins",1,2,1
"COG0799","COG0799","Uncharacterized homolog of plant Iojap protein",1,1,0
"COG0800","Eda","2-keto-3-deoxy-6-phosphogluconate aldolase",3,2,2
"COG0801","FolK","7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase",1,1,1
"COG0802","COG0802","Predicted ATPase or kinase",1,1,1
"COG0803","LraI","ABC-type metal ion transport system, periplasmic component/surface adhesin",1,1,0
"COG0805","TatC","Sec-independent protein secretion pathway component TatC",1,1,1
"COG0806","RimM","RimM protein, required for 16S rRNA processing",1,1,1
"COG0807","RibA","GTP cyclohydrolase II",1,1,1
"COG0809","QueA","S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)",1,1,1
"COG0811","TolQ","Biopolymer transport proteins",1,1,2
"COG0812","MurB","UDP-N-acetylmuramate dehydrogenase",1,1,1
"COG0815","Lnt","Apolipoprotein N-acyltransferase",1,1,2
"COG0816","COG0816","Predicted endonuclease involved in recombination (possible Holliday junction resolvase in Mycoplasmas and B. subtilis)",1,1,1
"COG0817","RuvC","Holliday junction resolvasome, endonuclease subunit",1,1,1
"COG0818","DgkA","Diacylglycerol kinase",1,0,1
"COG0819","TenA","Putative transcription activator",2,0,2
"COG0820","COG0820","Predicted Fe-S-cluster redox enzyme",1,1,1
"COG0821","gcpE","1-hydroxy-2-methyl-2-(e)-butenyl 4-diphosphate synthase",1,1,2
"COG0822","IscU","NifU homolog involved in Fe-S cluster formation",1,1,1
"COG0823","TolB","Periplasmic component of the Tol biopolymer transport system",1,1,1
"COG0824","FcbC","Predicted thioesterase",1,3,5
"COG0825","AccA","Acetyl-CoA carboxylase alpha subunit",1,1,1
"COG0828","RpsU","Ribosomal protein S21",1,1,1
"COG0834","HisJ","ABC-type amino acid transport/signal transduction systems, periplasmic component/domain",6,6,6
"COG0835","CheW","Chemotaxis signal transduction protein",1,0,0
"COG0836","{ManC","Mannose-1-phosphate guanylyltransferase",1,2,2
"COG0837","Glk","Glucokinase",2,1,1
"COG0838","NuoA","NADH:ubiquinone oxidoreductase subunit 3 (chain A)",1,1,1
"COG0839","NuoJ","NADH:ubiquinone oxidoreductase subunit 6 (chain J)",1,1,1
"COG0840","Tar","Methyl-accepting chemotaxis protein",13,0,1
"COG0841","AcrB","Cation/multidrug efflux pump",3,3,2
"COG0843","CyoB","Heme/copper-type cytochrome/quinol oxidases, subunit 1",1,1,1
"COG0845","AcrA","Membrane-fusion protein",4,3,7
"COG0847","DnaQ","DNA polymerase III, epsilon subunit and related 3'-5' exonucleases",1,2,2
"COG0848","ExbD","Biopolymer transport protein",1,1,1
"COG0849","ftsA","Cell division ATPase FtsA",1,1,2
"COG0852","NuoC","NADH:ubiquinone oxidoreductase 27 kD subunit",1,1,1
"COG0854","PdxJ","Pyridoxal phosphate biosynthesis protein",1,1,1
"COG0855","Ppk","Polyphosphate kinase",1,1,1
"COG0858","RbfA","Ribosome-binding factor A",1,1,1
"COG0860","AmiC","N-acetylmuramoyl-L-alanine amidase",1,1,1
"COG0861","TerC","Membrane protein TerC, possibly involved in tellurium resistance",2,2,1
"COG0863","COG0863","DNA modification methylase",2,2,1
"COG1001","AdeC","Adenine deaminase",1,1,1
"COG1003","GcvP","Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain",1,2,1
"COG1005","NuoH","NADH:ubiquinone oxidoreductase subunit 1 (chain H)",1,1,1
"COG1006","MnhC","Multisubunit Na+/H+ antiporter, MnhC subunit",1,1,1
"COG1007","NuoN","NADH:ubiquinone oxidoreductase subunit 2 (chain N)",1,1,1
"COG1008","NuoM","NADH:ubiquinone oxidoreductase subunit 4 (chain M)",1,1,1
"COG1009","NuoL","NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit",2,1,2
"COG1010","CobJ","Precorrin-3B methylase",1,1,2
"COG1011","COG1011","Predicted hydrolase (HAD superfamily)",5,4,2
"COG1012","PutA","NAD-dependent aldehyde dehydrogenases",20,6,12
"COG1015","DeoB","Phosphopentomutase",1,1,0
"COG1018","Hmp","Flavodoxin reductases (ferredoxin-NADPH reductases) family 1",5,2,0
"COG1020","EntF","Non-ribosomal peptide synthetase modules and related proteins",1,0,1
"COG1022","FAA1","Long-chain acyl-CoA synthetases (AMP-forming)",1,2,1
"COG1024","CaiD","Enoyl-CoA hydratase/carnithine racemase",7,13,10
"COG1028","FabG","Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)",33,24,15
"COG1034","NuoG","NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)",1,1,1
"COG1038","PycA","Pyruvate carboxylase",1,1,2
"COG1040","ComFC","Predicted amidophosphoribosyltransferases",1,1,1
"COG1042","COG1042","Acyl-CoA synthetase (NDP forming)",1,0,1
"COG1043","LpxA","Acyl-[acyl carrier protein].",1,1,1
"COG1044","LpxD","UDP-3-O-[3-hydroxymyristoyl].",1,1,1
"COG1045","CysE","Serine acetyltransferase",1,1,1
"COG1048","AcnA","Aconitase A",1,1,1
"COG1051","COG1051","ADP-ribose pyrophosphatase",2,2,1
"COG1052","LdhA","Lactate dehydrogenase and related dehydrogenases",3,2,3
"COG1053","SdhA","Succinate dehydrogenase/fumarate reductase, flavoprotein subunit",1,1,1
"COG1054","COG1054","Predicted sulfurtransferase",1,1,2
"COG1057","NadD","Nicotinic acid mononucleotide adenylyltransferase",1,1,1
"COG1058","CinA","Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA",1,1,1
"COG1062","AdhC","Zn-dependent alcohol dehydrogenases, class III",1,1,2
"COG1063","Tdh","Threonine dehydrogenase and related Zn-dependent dehydrogenases",5,1,2
"COG1066","Sms","Predicted ATP-dependent serine protease",1,1,1
"COG1070","XylB","Sugar (pentulose and hexulose) kinases",4,1,2
"COG1071","AcoA","Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, alpha subunit",2,1,1
"COG1072","CoaA","Panthothenate kinase",4,1,2
"COG1073","COG1073","Hydrolases of the alpha/beta superfamily",2,1,1
"COG1074","RecB","ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)",1,2,1
"COG1076","DjlA","DnaJ-domain-containing proteins 1",1,1,1
"COG1079","COG1079","Uncharacterized ABC-type transport system, permease component",3,3,2
"COG1082","IolE","Sugar phosphate isomerases/epimerases",11,1,4
"COG1086","COG1086","Predicted nucleoside-diphosphate sugar epimerases",1,1,1
"COG1087","GalE","UDP-glucose 4-epimerase",1,0,0
"COG1092","COG1092","Predicted SAM-dependent methyltransferases",1,1,1
"COG1101","PhnK","ABC-type uncharacterized transport system, ATPase component",1,0,0
"COG1104","NifS","Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes",1,1,1
"COG1108","ZnuB","ABC-type Mn2+/Zn2+ transport systems, permease components",3,2,1
"COG1109","{ManB","Phosphomannomutase",2,2,3
"COG1115","AlsT","Na+/alanine symporter",1,1,2
"COG1116","TauB","ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component",3,3,2
"COG1117","PstB","ABC-type phosphate transport system, ATPase component",1,1,1
"COG1120","FepC","ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",1,0,1
"COG1121","ZnuC","ABC-type Mn/Zn transport systems, ATPase component",2,1,1
"COG1122","CbiO","ABC-type cobalt transport system, ATPase component",1,0,1
"COG1123","COG1123","ATPase components of various ABC-type transport systems, contain duplicated ATPase",7,1,1
"COG1124","DppF","ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",1,0,0
"COG1126","GlnQ","ABC-type polar amino acid transport system, ATPase component",3,3,2
"COG1127","Ttg2A","ABC-type transport system involved in resistance to organic solvents, ATPase component",1,1,1
"COG1129","MglA","ABC-type sugar transport system, ATPase component",12,2,10
"COG1131","CcmA","ABC-type multidrug transport system, ATPase component",1,0,4
"COG1132","MdlB","ABC-type multidrug transport system, ATPase and permease components",4,6,3
"COG1136","SalX","ABC-type antimicrobial peptide transport system, ATPase component",4,4,1
"COG1137","YhbG","ABC-type (unclassified) transport system, ATPase component",1,1,1
"COG1138","CcmF","Cytochrome c biogenesis factor",2,1,1
"COG1139","COG1139","Uncharacterized conserved protein containing a ferredoxin-like domain",1,0,0
"COG1140","NarY","Nitrate reductase beta subunit",1,0,0
"COG1143","NuoI","Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)",1,1,1
"COG1146","COG1146","Ferredoxin",3,2,2
"COG1154","Dxs","Deoxyxylulose-5-phosphate synthase",1,1,2
"COG1157","FliI","Flagellar biosynthesis/type III secretory pathway ATPase",1,0,0
"COG1158","Rho","Transcription termination factor",1,1,1
"COG1159","Era","GTPase",1,1,1
"COG1160","COG1160","Predicted GTPases",1,1,1
"COG1164","COG1164","Oligoendopeptidase F",1,1,1
"COG1166","SpeA","Arginine decarboxylase (spermidine biosynthesis)",1,0,0
"COG1167","ARO8","Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs",7,2,4
"COG1168","MalY","Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities",1,0,0
"COG1171","IlvA","Threonine dehydratase",1,2,4
"COG1172","AraH","Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components",13,1,6
"COG1173","DppC","ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",9,4,2
"COG1175","UgpA","ABC-type sugar transport systems, permease components",22,8,4
"COG1176","PotB","ABC-type spermidine/putrescine transport system, permease component I",3,3,3
"COG1177","PotC","ABC-type spermidine/putrescine transport system, permease component II",6,3,3
"COG1178","ThiP","ABC-type Fe3+ transport system, permease component",2,2,1
"COG1181","DdlA","D-alanine-D-alanine ligase and related ATP-grasp enzymes",1,1,1
"COG1183","PssA","Phosphatidylserine synthase",1,2,3
"COG1185","Pnp","Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)",1,1,1
"COG1186","PrfB","Protein chain release factor B",2,2,1
